"","Zone","Species","Abundance"
"1","High","Austrolittorina",16
"2","High","Austrolittorina",28
"3","High","Austrolittorina",57
"4","High","Austrolittorina",0
"5","High","Austrolittorina",61
"6","High","Austrolittorina",24
"7","High","Austrolittorina",74
"8","High","Austrolittorina",10
"9","High","Austrolittorina",12
"10","High","Austrolittorina",1
"11","High","Austrolittorina",1
"12","High","Austrolittorina",0
"13","High","Austrolittorina",9
"14","High","Austrolittorina",12
"15","High","Austrolittorina",13
"16","High","Austrolittorina",36
"17","High","Austrolittorina",6
"18","High","Austrolittorina",25
"19","High","Austrolittorina",2
"20","High","Austrolittorina",11
"21","High","Austrolittorina",30
"22","High","Austrolittorina",18
"23","High","Austrolittorina",74
"24","High","Austrolittorina",0
"25","High","Austrolittorina",3
"26","High","Austrolittorina",8
"27","High","Austrolittorina",47
"28","High","Austrolittorina",61
"29","High","Austrolittorina",16
"30","High","Austrolittorina",25
"31","High","Austrolittorina",0
"32","High","Austrolittorina",3
"33","High","Austrolittorina",24
"34","High","Austrolittorina",3
"35","High","Austrolittorina",88
"36","High","Austrolittorina",0
"37","High","Austrolittorina",61
"38","High","Austrolittorina",0
"39","High","Austrolittorina",10
"40","High","Austrolittorina",3
"41","High","Austrolittorina",55
"42","High","Austrolittorina",15
"43","High","Austrolittorina",1
"44","High","Austrolittorina",1
"45","High","Austrolittorina",0
"46","High","Austrolittorina",0
"47","High","Austrolittorina",54
"48","High","Austrolittorina",37
"49","High","Austrolittorina",14
"50","High","Austrolittorina",2
"51","High","Austrolittorina",72
"52","High","Austrolittorina",17
"53","High","Austrolittorina",30
"54","High","Austrolittorina",0
"55","High","Austrolittorina",20
"56","High","Austrolittorina",11
"57","High","Austrolittorina",8
"58","High","Austrolittorina",0
"59","High","Austrolittorina",28
"60","High","Austrolittorina",23
"61","High","Austrolittorina",38
"62","High","Austrolittorina",0
"63","High","Austrolittorina",23
"64","High","Austrolittorina",69
"65","High","Austrolittorina",29
"66","High","Austrolittorina",21
"67","High","Austrolittorina",0
"68","High","Austrolittorina",31
"69","High","Austrolittorina",0
"70","High","Austrolittorina",15
"71","High","Nerita",0
"72","High","Nerita",0
"73","High","Nerita",0
"74","High","Nerita",0
"75","High","Nerita",0
"76","High","Nerita",0
"77","High","Nerita",1
"78","High","Nerita",0
"79","High","Nerita",0
"80","High","Nerita",0
"81","High","Nerita",0
"82","High","Nerita",0
"83","High","Nerita",0
"84","High","Nerita",0
"85","High","Nerita",0
"86","High","Nerita",3
"87","High","Nerita",0
"88","High","Nerita",8
"89","High","Nerita",0
"90","High","Nerita",0
"91","High","Nerita",0
"92","High","Nerita",0
"93","High","Nerita",0
"94","High","Nerita",0
"95","High","Nerita",0
"96","High","Nerita",0
"97","High","Nerita",0
"98","High","Nerita",0
"99","High","Nerita",0
"100","High","Nerita",0
"101","High","Nerita",0
"102","High","Nerita",0
"103","High","Nerita",4
"104","High","Nerita",0
"105","High","Nerita",0
"106","High","Nerita",0
"107","High","Nerita",0
"108","High","Nerita",0
"109","High","Nerita",0
"110","High","Nerita",0
"111","High","Nerita",2
"112","High","Nerita",0
"113","High","Nerita",0
"114","High","Nerita",0
"115","High","Nerita",0
"116","High","Nerita",0
"117","High","Nerita",0
"118","High","Nerita",6
"119","High","Nerita",5
"120","High","Nerita",3
"121","High","Nerita",0
"122","High","Nerita",1
"123","High","Nerita",0
"124","High","Nerita",1
"125","High","Nerita",0
"126","High","Nerita",0
"127","High","Nerita",0
"128","High","Nerita",0
"129","High","Nerita",0
"130","High","Nerita",0
"131","High","Nerita",0
"132","High","Nerita",0
"133","High","Nerita",0
"134","High","Nerita",0
"135","High","Nerita",0
"136","High","Nerita",0
"137","High","Nerita",1
"138","High","Nerita",0
"139","High","Nerita",0
"140","High","Nerita",0
"141","High","Nodilittorina",0
"142","High","Nodilittorina",5
"143","High","Nodilittorina",0
"144","High","Nodilittorina",0
"145","High","Nodilittorina",2
"146","High","Nodilittorina",0
"147","High","Nodilittorina",0
"148","High","Nodilittorina",1
"149","High","Nodilittorina",4
"150","High","Nodilittorina",12
"151","High","Nodilittorina",0
"152","High","Nodilittorina",20
"153","High","Nodilittorina",2
"154","High","Nodilittorina",10
"155","High","Nodilittorina",0
"156","High","Nodilittorina",1
"157","High","Nodilittorina",5
"158","High","Nodilittorina",1
"159","High","Nodilittorina",10
"160","High","Nodilittorina",6
"161","High","Nodilittorina",1
"162","High","Nodilittorina",14
"163","High","Nodilittorina",14
"164","High","Nodilittorina",19
"165","High","Nodilittorina",2
"166","High","Nodilittorina",14
"167","High","Nodilittorina",6
"168","High","Nodilittorina",17
"169","High","Nodilittorina",7
"170","High","Nodilittorina",1
"171","High","Nodilittorina",5
"172","High","Nodilittorina",12
"173","High","Nodilittorina",7
"174","High","Nodilittorina",0
"175","High","Nodilittorina",1
"176","High","Nodilittorina",0
"177","High","Nodilittorina",2
"178","High","Nodilittorina",7
"179","High","Nodilittorina",1
"180","High","Nodilittorina",0
"181","High","Nodilittorina",1
"182","High","Nodilittorina",3
"183","High","Nodilittorina",0
"184","High","Nodilittorina",1
"185","High","Nodilittorina",0
"186","High","Nodilittorina",5
"187","High","Nodilittorina",0
"188","High","Nodilittorina",18
"189","High","Nodilittorina",2
"190","High","Nodilittorina",6
"191","High","Nodilittorina",4
"192","High","Nodilittorina",2
"193","High","Nodilittorina",19
"194","High","Nodilittorina",7
"195","High","Nodilittorina",2
"196","High","Nodilittorina",1
